        BELFAST	              -	      B-A0	         O
              ,	              -	      I-A0	         O
       Northern	              -	      I-A0	         O
        Ireland	              -	      I-A0	         O
              (	              -	      I-A0	         O
             AP	              -	      I-A0	         O
              )	              -	      I-A0	         O
              _	              -	      I-A0	         O
         Police	              -	      E-A0	         O
         seized	         seized	       S-V	         O
              a	              -	      B-A1	         O
            car	              -	      I-A1	         O
           bomb	              -	      E-A1	         O
          under	              -	  B-AM-LOC	         O
   construction	              -	  E-AM-LOC	         O
         Sunday	              -	  S-AM-TMP	         O
             in	              -	  B-AM-LOC	         O
              a	              -	  I-AM-LOC	         O
           town	              -	  I-AM-LOC	         O
      bordering	      bordering	  I-AM-LOC	       S-V
       Northern	              -	  I-AM-LOC	      B-A2
        Ireland	              -	  E-AM-LOC	      E-A2
             on	              -	  B-AM-PNC	      B-A1
            the	              -	  I-AM-PNC	      I-A1
            eve	              -	  I-AM-PNC	      I-A1
             of	              -	  I-AM-PNC	      I-A1
            the	              -	  I-AM-PNC	      I-A1
         return	              -	  I-AM-PNC	      I-A1
             to	              -	  I-AM-PNC	      I-A1
          peace	              -	  I-AM-PNC	      I-A1
          talks	              -	  I-AM-PNC	      I-A1
             by	              -	  I-AM-PNC	      I-A1
            the	              -	  I-AM-PNC	      I-A1
     IRA-allied	              -	  I-AM-PNC	      I-A1
           Sinn	              -	  I-AM-PNC	      I-A1
           Fein	              -	  I-AM-PNC	      I-A1
          party	              -	  E-AM-PNC	      E-A1
              .	              -	         O	         O

          Chief	              -	      B-A0	         O	         O	         O	         O	         O
        Belfast	              -	  I-AM-LOC	         O
              ,	              -	  I-AM-LOC	         O
          where	              -	  I-AM-LOC	         O
      Orangemen	              -	  I-AM-LOC	      S-A0
          march	          march	  I-AM-LOC	       S-V
           each	              -	  I-AM-LOC	  B-AM-TMP
           July	              -	  I-AM-LOC	  E-AM-TMP
           from	              -	  I-AM-LOC	      B-A1
          their	              -	  I-AM-LOC	      I-A1
          rural	              -	  I-AM-LOC	      I-A1
         church	              -	  I-AM-LOC	      I-A1
           back	              -	  I-AM-LOC	      I-A1
       downtown	              -	  I-AM-LOC	      I-A1
              _	              -	  I-AM-LOC	      I-A1
        through	              -	  I-AM-LOC	      I-A1
            the	              -	  I-AM-LOC	      I-A1
           town	              -	  I-AM-LOC	      I-A1
             's	              -	  I-AM-LOC	      I-A1
           main	              -	  I-AM-LOC	      I-A1
       Catholic	              -	  I-AM-LOC	      I-A1
           area	              -	  E-AM-LOC	      E-A1
              .	              -	         O	         O

     Protesters	              -	      B-A0	      B-A0	         O	      B-A0	         O
           from	              -	      I-A0	      I-A0	         O	      I-A0	         O
        several	              -	      I-A0	      I-A0	         O	      I-A0	         O
       Catholic	              -	      I-A0	      I-A0	         O	      I-A0	         O
    communities	              -	      E-A0	      E-A0	         O	      E-A0	         O
        crowded	        crowded	       S-V	         O	         O	         O	         O
           into	              -	      B-A1	         O	         O	         O	         O
      Portadown	              -	      I-A1	      B-A0	         O	         O	         O
             's	              -	      I-A1	      I-A0	         O	         O	         O
       Catholic	              -	      I-A1	      I-A0	         O	         O	         O
       Garvaghy	              -	      I-A1	      I-A0	         O	         O	         O
           Road	              -	      E-A1	      E-A0	         O	         O	         O
             to	              -	  B-AM-PNC	         O	         O	         O	         O
           hear	           hear	  I-AM-PNC	       S-V	         O	         O	         O
       speakers	              -	  E-AM-PNC	      B-A1	      S-A0	      S-A0	      S-A0
         demand	         demand	         O	      I-A1	       S-V	         O	         O
   negotiations	              -	         O	      I-A1	      B-A1	         O	         O
           with	              -	         O	      I-A1	      I-A1	         O	         O
         Orange	              -	         O	      I-A1	      I-A1	         O	         O
          Order	              -	         O	      I-A1	      I-A1	         O	         O
        leaders	              -	         O	      E-A1	      I-A1	         O	         O
              ,	              -	         O	         O	      I-A1	         O	         O
            and	              -	         O	         O	      I-A1	         O	         O
         pledge	         pledge	         O	         O	      I-A1	       S-V	         O
             to	              -	         O	         O	      I-A1	      B-A1	         O
    participate	    participate	         O	         O	      I-A1	      I-A1	       S-V
             in	              -	         O	         O	      I-A1	      I-A1	      B-A1
           each	              -	         O	         O	      I-A1	      I-A1	      I-A1
         others	              -	         O	         O	      I-A1	      I-A1	      I-A1
              '	              -	         O	         O	      I-A1	      I-A1	      I-A1
  road-blocking	              -	         O	         O	      I-A1	      I-A1	      I-A1
       protests	              -	         O	         O	      I-A1	      E-A1	      E-A1
           this	              -	         O	         O	      I-A1	  B-AM-TMP	  B-AM-TMP
         summer	              -	         O	         O	      E-A1	  E-AM-TMP	  E-AM-TMP
              .	              -	         O	         O	         O	         O	         O

             ``	              -	         O	         O	         O	         O	         O	         O
          Small	              -	      B-A1	         O	      B-A1	      B-A1	      B-A1	         O
    nationalist	              -	      I-A1	         O	      I-A1	      I-A1	      I-A1	         O
    communities	              -	      E-A1	         O	      E-A1	      E-A1	      I-A1	         O
            are	            are	       S-V	         O	         O	         O	      I-A1	         O
            not	              -	    B-C-A1	  S-AM-NEG	         O	         O	      I-A1	         O
          going	          going	    I-C-A1	       S-V	  S-AM-MOD	  S-AM-MOD	      I-A1	         O
             to	              -	    I-C-A1	         O	         O	         O	      I-A1	         O
             be	             be	    I-C-A1	         O	       S-V	         O	      I-A1	         O
           left	           left	    I-C-A1	         O	         O	       S-V	      I-A1	         O
             on	              -	    I-C-A1	         O	         O	      B-A2	      I-A1	         O
          their	              -	    I-C-A1	         O	         O	      I-A2	      I-A1	         O
            own	              -	    I-C-A1	         O	         O	      E-A2	      I-A1	         O
           this	              -	    I-C-A1	         O	         O	  B-AM-TMP	      I-A1	         O
         summer	              -	    E-C-A1	         O	         O	  E-AM-TMP	      E-A1	         O
              ,	              -	         O	         O	         O	         O	         O	         O
             ''	              -	         O	         O	         O	         O	         O	         O
           said	           said	         O	         O	         O	         O	       S-V	         O
         Gerard	              -	         O	         O	         O	         O	      B-A0	         O
           Rice	              -	         O	         O	         O	         O	      I-A0	         O
              ,	              -	         O	         O	         O	         O	      I-A0	         O
              a	              -	         O	         O	         O	         O	      I-A0	      B-A0
         former	              -	         O	         O	         O	         O	      I-A0	      I-A0
            IRA	              -	         O	         O	         O	         O	      I-A0	      I-A0
       prisoner	              -	         O	         O	         O	         O	      I-A0	      E-A0
            who	              -	         O	         O	         O	         O	      I-A0	    S-R-A0
          leads	          leads	         O	         O	         O	         O	      I-A0	       S-V
    anti-Orange	              -	         O	         O	         O	         O	      I-A0	      B-A1
       protests	              -	         O	         O	         O	         O	      I-A0	      E-A1
             in	              -	         O	         O	         O	         O	      I-A0	  B-AM-LOC
              a	              -	         O	         O	         O	         O	      I-A0	  I-AM-LOC
       Catholic	              -	         O	         O	         O	         O	      I-A0	  I-AM-LOC
   neighborhood	              -	         O	         O	         O	         O	      I-A0	  I-AM-LOC
             of	              -	         O	         O	         O	         O	      I-A0	  I-AM-LOC
          south	              -	         O	         O	         O	         O	      I-A0	  I-AM-LOC
        Belfast	              -	         O	         O	         O	         O	      E-A0	  E-AM-LOC
              .	              -	         O	         O	         O	         O	         O	         O

           Riot	              -	      B-A0	         O	         O	         O
         police	              -	      I-A0	         O	         O	         O
             in	              -	      I-A0	         O	         O	         O
        armored	              -	      I-A0	         O	         O	         O
           cars	              -	      I-A0	         O	         O	         O
              ,	              -	      I-A0	         O	         O	         O
        shields	              -	      I-A0	         O	         O	         O
            and	              -	      I-A0	         O	         O	         O
        helmets	              -	      E-A0	         O	         O	         O
      prevented	      prevented	       S-V	         O	         O	         O
              a	              -	      B-A1	         O	         O	         O
            few	              -	      I-A1	         O	         O	         O
        hundred	              -	      I-A1	         O	         O	         O
    Protestants	              -	      E-A1	         O	         O	         O
              ,	              -	         O	         O	         O	         O
           many	              -	  B-AM-ADV	      S-A0	      B-A0	         O
         waving	         waving	  I-AM-ADV	       S-V	      I-A0	         O
        British	              -	  I-AM-ADV	      B-A1	      I-A0	         O
            and	              -	  I-AM-ADV	      I-A1	      I-A0	         O
         Ulster	              -	  I-AM-ADV	      I-A1	      I-A0	         O
          flags	              -	  I-AM-ADV	      E-A1	      I-A0	         O
              ,	              -	  I-AM-ADV	         O	      E-A0	         O
           from	              -	  I-AM-ADV	         O	         O	         O
    interfering	    interfering	  I-AM-ADV	         O	       S-V	         O
           with	              -	  I-AM-ADV	         O	      B-A1	         O
            the	              -	  I-AM-ADV	         O	      I-A1	         O
      Catholics	              -	  I-AM-ADV	         O	      E-A1	         O
             as	              -	  I-AM-ADV	         O	  B-AM-TMP	         O
           they	              -	  I-AM-ADV	         O	  I-AM-TMP	      S-A0
        marched	        marched	  I-AM-ADV	         O	  I-AM-TMP	       S-V
         within	              -	  I-AM-ADV	         O	  I-AM-TMP	  B-AM-LOC
      Portadown	              -	  I-AM-ADV	         O	  I-AM-TMP	  I-AM-LOC
             's	              -	  I-AM-ADV	         O	  I-AM-TMP	  I-AM-LOC
            few	              -	  I-AM-ADV	         O	  I-AM-TMP	  I-AM-LOC
       Catholic	              -	  I-AM-ADV	         O	  I-AM-TMP	  I-AM-LOC
        streets	              -	  E-AM-ADV	         O	  E-AM-TMP	  E-AM-LOC
              .	              -	         O	         O	         O	         O

        Earlier	              -	      B-A0
         Sunday	              -	      I-A0
              ,	              -	      I-A0
         police	              -	      I-A0
            and	              -	      I-A0
       militant	              -	      I-A0
    Protestants	              -	      E-A0
        clashed	        clashed	       S-V
             in	              -	      B-A2
              a	              -	      I-A2
    religiously	              -	      I-A2
      polarized	              -	      I-A2
           part	              -	      I-A2
             of	              -	      I-A2
          north	              -	      I-A2
        Belfast	              -	      E-A2
              .	              -	         O

         Police	              -	      S-A0	         O	         O
           said	           said	       S-V	         O	         O
             an	              -	      B-A1	      B-A1	      B-A1
       unmarked	              -	      I-A1	      I-A1	      I-A1
         police	              -	      I-A1	      I-A1	      I-A1
            car	              -	      I-A1	      E-A1	      E-A1
            was	            was	      I-A1	       S-V	         O
            hit	            hit	      I-A1	      B-A2	       S-V
           with	              -	      I-A1	      I-A2	      B-A2
       gasoline	              -	      I-A1	      I-A2	      I-A2
          bombs	              -	      I-A1	      I-A2	      I-A2
           from	              -	      I-A1	      I-A2	      I-A2
            the	              -	      I-A1	      I-A2	      I-A2
     Protestant	              -	      I-A1	      I-A2	      I-A2
           side	              -	      E-A1	      E-A2	      E-A2
              .	              -	         O	         O	         O

           Riot	              -	      B-A0	         O
         police	              -	      E-A0	         O
      responded	      responded	       S-V	         O
           with	              -	      B-A2	         O
              a	              -	      I-A2	         O
         volley	              -	      I-A2	         O
             of	              -	      I-A2	         O
        plastic	              -	      I-A2	      B-A2
        bullets	              -	      I-A2	      E-A2
           that	              -	      I-A2	    S-R-A2
      scattered	      scattered	      I-A2	       S-V
              a	              -	      I-A2	      B-A1
      50-strong	              -	      I-A2	      I-A1
            mob	              -	      E-A2	      E-A1
              .	              -	         O	         O

             An	              -	      B-A1	      B-A1	         O
        elderly	              -	      I-A1	      I-A1	         O
       Catholic	              -	      I-A1	      I-A1	         O
            man	              -	      E-A1	      E-A1	         O
            was	            was	       S-V	         O	         O
   hospitalized	   hospitalized	  B-AM-TMP	       S-V	         O
           from	              -	  I-AM-TMP	      B-A2	         O
           cuts	              -	  I-AM-TMP	      E-A2	         O
          after	              -	  I-AM-TMP	         O	         O
              a	              -	  I-AM-TMP	         O	      B-A1
     Protestant	              -	  I-AM-TMP	         O	      I-A1
       gasoline	              -	  I-AM-TMP	         O	      I-A1
           bomb	              -	  I-AM-TMP	         O	      E-A1
         landed	         landed	  I-AM-TMP	         O	       S-V
             in	              -	  I-AM-TMP	         O	  B-AM-LOC
            his	              -	  I-AM-TMP	         O	  I-AM-LOC
           back	              -	  I-AM-TMP	         O	  I-AM-LOC
           yard	              -	  E-AM-TMP	         O	  E-AM-LOC
              .	              -	         O	         O	         O

         Police	              -	      S-A0
       arrested	       arrested	       S-V
            six	              -	      B-A1
    Protestants	              -	      E-A1
             on	              -	      B-A2
      suspicion	              -	      I-A2
             of	              -	      I-A2
        rioting	              -	      E-A2
              .	              -	         O

              (	              -
         sp/eml	              -
              )	              -

