         Market	              -	      B-A1	      B-A0	         O
         makers	              -	      I-A1	      I-A0	         O
             in	              -	      I-A1	      I-A0	         O
         Nasdaq	              -	      I-A1	      I-A0	         O
over-the-counter	              -	      I-A1	      I-A0	         O
         stocks	              -	      E-A1	      E-A0	         O
            are	            are	       S-V	         O	         O
         adding	         adding	  B-AM-ADV	       S-V	         O
          their	              -	  I-AM-ADV	      B-A1	         O
         voices	              -	  I-AM-ADV	      E-A1	         O
             to	              -	  I-AM-ADV	      B-A2	         O
            the	              -	  I-AM-ADV	      I-A2	         O
       swelling	       swelling	  I-AM-ADV	      I-A2	       S-V
         chorus	              -	  I-AM-ADV	      I-A2	      S-A1
             of	              -	  I-AM-ADV	      I-A2	         O
     complaints	              -	  I-AM-ADV	      I-A2	         O
          about	              -	  I-AM-ADV	      I-A2	         O
        program	              -	  I-AM-ADV	      I-A2	         O
        trading	              -	  E-AM-ADV	      E-A2	         O
              .	              -	         O	         O	         O

          Their	              -	      B-A0	         O
     motivation	              -	      E-A0	         O
              ,	              -	         O	         O
        however	              -	  S-AM-DIS	         O
              ,	              -	         O	         O
            has	            has	       S-V	         O
              a	              -	      B-A1	         O
         strong	              -	      I-A1	         O
      practical	              -	      I-A1	         O
         aspect	              -	      E-A1	         O
              :	              -	         O	         O
        Program	              -	         O	      B-A1
        trading	              -	         O	      E-A1
             is	             is	         O	       S-V
      hazardous	              -	         O	      B-A2
             to	              -	         O	      I-A2
          their	              -	         O	      I-A2
      paychecks	              -	         O	      E-A2
              .	              -	         O	         O

            The	              -	      B-A1	      B-A0	         O	         O
            And	              -	         O	         O	         O	  S-AM-DIS	         O	         O
             to	              -	         O	         O	         O	  B-AM-PNC	         O	         O
        protect	        protect	       S-V	         O	         O	  I-AM-PNC	         O	         O
          their	              -	      B-A1	         O	      B-A1	  I-AM-PNC	         O	         O
        reduced	        reduced	      I-A1	       S-V	      I-A1	  I-AM-PNC	         O	         O
        capital	              -	      I-A1	      B-A1	      I-A1	  I-AM-PNC	         O	         O
     investment	              -	      E-A1	      E-A1	      E-A1	  I-AM-PNC	         O	         O
           from	              -	      B-A2	         O	         O	  I-AM-PNC	         O	         O
        eroding	        eroding	      I-A2	         O	       S-V	  I-AM-PNC	         O	         O
        further	              -	      I-A2	         O	  S-AM-MNR	  E-AM-PNC	         O	         O
              ,	              -	      I-A2	         O	         O	         O	         O	         O
         market	              -	      I-A2	         O	         O	      B-A1	      B-A0	         O
         makers	              -	      E-A2	         O	         O	      E-A1	      E-A0	         O
         became	         became	         O	         O	         O	       S-V	         O	         O
        quicker	              -	         O	         O	         O	      B-A2	         O	         O
             to	              -	         O	         O	         O	      I-A2	         O	         O
          lower	          lower	         O	         O	         O	      I-A2	       S-V	         O
          price	              -	         O	         O	         O	      I-A2	      B-A1	         O
         quotes	              -	         O	         O	         O	      I-A2	      E-A1	         O
           when	              -	         O	         O	         O	      I-A2	  B-AM-TMP	         O
           sell	              -	         O	         O	         O	      I-A2	  I-AM-TMP	      B-A1
       programs	              -	         O	         O	         O	      I-A2	  I-AM-TMP	      E-A1
            are	            are	         O	         O	         O	      I-A2	  I-AM-TMP	       S-V
             in	              -	         O	         O	         O	      I-A2	  I-AM-TMP	  B-AM-MNR
       progress	              -	         O	         O	         O	      E-A2	  E-AM-TMP	  E-AM-MNR
              .	              -	         O	         O	         O	         O	         O	         O

             On	              -	  B-AM-TMP	         O	  B-AM-TMP	         O
           days	              -	  E-AM-TMP	         O	  I-AM-TMP	         O
           when	              -	S-R-AM-TMP	         O	  I-AM-TMP	         O
         prices	              -	      S-A1	      S-A1	  I-AM-TMP	         O
            are	            are	       S-V	         O	  I-AM-TMP	         O
       tumbling	       tumbling	    S-C-A1	       S-V	  E-AM-TMP	         O
              ,	              -	         O	         O	         O	         O
           they	              -	         O	         O	      S-A1	      S-A0
           must	              -	         O	         O	  S-AM-MOD	         O
             be	             be	         O	         O	       S-V	         O
        willing	              -	         O	         O	      B-A1	         O
             to	              -	         O	         O	      I-A1	         O
            buy	            buy	         O	         O	      I-A1	       S-V
         shares	              -	         O	         O	      I-A1	      S-A1
           from	              -	         O	         O	      I-A1	      B-A2
        sellers	              -	         O	         O	      I-A1	      E-A2
           when	              -	         O	         O	      I-A1	  B-AM-TMP
             no	              -	         O	         O	      I-A1	  I-AM-TMP
            one	              -	         O	         O	      I-A1	  I-AM-TMP
           else	              -	         O	         O	      I-A1	  I-AM-TMP
           will	              -	         O	         O	      E-A1	  E-AM-TMP
              .	              -	         O	         O	         O	         O

             In	              -	  B-AM-LOC	         O	         O
           such	              -	  I-AM-LOC	         O	         O
             an	              -	  I-AM-LOC	         O	         O
    environment	              -	  E-AM-LOC	         O	         O
              ,	              -	         O	         O	         O
         market	              -	      B-A0	         O	         O
         makers	              -	      E-A0	         O	         O
            can	              -	  S-AM-MOD	         O	         O
         suffer	         suffer	       S-V	         O	         O
           huge	              -	      B-A1	         O	         O
         losses	              -	      I-A1	         O	         O
           both	              -	      I-A1	         O	         O
             on	              -	      I-A1	         O	         O
         trades	              -	      I-A1	      S-A1	         O
           made	           made	      I-A1	       S-V	         O
           that	              -	      I-A1	  B-AM-TMP	         O
            day	              -	      I-A1	  E-AM-TMP	         O
             at	              -	      I-A1	      B-A2	         O
       steadily	              -	      I-A1	      I-A2	  S-AM-MNR
       dropping	       dropping	      I-A1	      I-A2	       S-V
         prices	              -	      I-A1	      E-A2	      S-A1
            and	              -	      I-A1	         O	         O
             in	              -	      I-A1	         O	         O
            the	              -	      I-A1	         O	         O
          value	              -	      I-A1	         O	         O
             of	              -	      I-A1	         O	         O
          their	              -	      I-A1	         O	         O
    inventories	              -	      I-A1	         O	         O
             of	              -	      I-A1	         O	         O
         shares	              -	      E-A1	         O	         O
              .	              -	         O	         O	         O

             It	              -	         O	         O	         O	         O	         O	         O	      B-A1
          makes	          makes	       S-V	         O	         O	         O	         O	         O	      I-A1
             no	              -	      B-A1	         O	         O	         O	         O	         O	      I-A1
          sense	              -	      E-A1	         O	         O	         O	         O	         O	      I-A1
            for	              -	      B-A2	         O	         O	         O	         O	         O	      I-A1
             us	              -	      I-A2	      S-A0	         O	         O	         O	         O	      I-A1
             to	              -	      I-A2	         O	         O	         O	         O	         O	      I-A1
            put	            put	      I-A2	       S-V	         O	         O	         O	         O	      I-A1
          money	              -	      I-A2	      S-A1	         O	         O	         O	         O	      I-A1
             at	              -	      I-A2	      B-A2	         O	         O	         O	         O	      I-A1
           risk	              -	      I-A2	      E-A2	         O	         O	         O	         O	      I-A1
           when	              -	      I-A2	  B-AM-TMP	         O	         O	         O	         O	      I-A1
            you	              -	      I-A2	  I-AM-TMP	      S-A0	         O	         O	         O	      I-A1
           know	           know	      I-A2	  I-AM-TMP	       S-V	         O	         O	         O	      I-A1
            you	              -	      I-A2	  I-AM-TMP	      B-A1	      S-A0	         O	      S-A0	      I-A1
            're	            're	      I-A2	  I-AM-TMP	      I-A1	       S-V	         O	         O	      I-A1
          going	          going	      I-A2	  I-AM-TMP	      I-A1	         O	       S-V	  S-AM-MOD	      I-A1
             to	              -	      I-A2	  I-AM-TMP	      I-A1	         O	         O	         O	      I-A1
           lose	           lose	      E-A2	  E-AM-TMP	      E-A1	         O	         O	       S-V	      E-A1
              ,	              -	         O	         O	         O	         O	         O	         O	         O
           says	           says	         O	         O	         O	         O	         O	         O	       S-V
            Mr.	              -	         O	         O	         O	         O	         O	         O	      B-A0
       Antolini	              -	         O	         O	         O	         O	         O	         O	      I-A0
              ,	              -	         O	         O	         O	         O	         O	         O	      I-A0
             of	              -	         O	         O	         O	         O	         O	         O	      I-A0
      Donaldson	              -	         O	         O	         O	         O	         O	         O	      I-A0
         Lufkin	              -	         O	         O	         O	         O	         O	         O	      E-A0
              .	              -	         O	         O	         O	         O	         O	         O	         O

            But	              -	      B-A1	  S-AM-DIS	         O
           this	              -	      I-A1	      B-A1	      B-A0
   skittishness	              -	      E-A1	      E-A1	      E-A0
              ,	              -	         O	         O	         O
            Mr.	              -	      B-A0	         O	         O
       Antolini	              -	      E-A0	         O	         O
           says	           says	       S-V	         O	         O
              ,	              -	         O	         O	         O
             is	             is	    B-C-A1	       S-V	         O
       creating	       creating	    I-C-A1	      B-A1	       S-V
      liquidity	              -	    I-C-A1	      I-A1	      B-A1
       problems	              -	    I-C-A1	      I-A1	      I-A1
             in	              -	    I-C-A1	      I-A1	      I-A1
        certain	              -	    I-C-A1	      I-A1	      I-A1
            OTC	              -	    I-C-A1	      I-A1	      I-A1
         stocks	              -	    E-C-A1	      E-A1	      E-A1
              .	              -	         O	         O	         O

             It	              -	      S-A1	         O	         O	         O	         O	         O
             's	             's	       S-V	         O	         O	         O	         O	         O
         harder	              -	  S-AM-MNR	         O	         O	         O	         O	         O
             to	              -	      B-A1	         O	         O	         O	         O	         O
           sell	           sell	      I-A1	       S-V	         O	         O	         O	         O
         stocks	              -	      I-A1	      S-A1	         O	         O	         O	         O
           when	              -	      I-A1	  B-AM-TMP	         O	         O	         O	         O
            the	              -	      I-A1	  I-AM-TMP	      B-A1	         O	         O	         O
           sell	              -	      I-A1	  I-AM-TMP	      I-A1	         O	         O	         O
       programs	              -	      I-A1	  I-AM-TMP	      E-A1	         O	         O	         O
           come	           come	      I-A1	  I-AM-TMP	       B-V	         O	         O	         O
             in	              -	      E-A1	  E-AM-TMP	       E-V	         O	         O	         O
        because	              -	  B-AM-CAU	         O	         O	         O	         O	         O
           some	              -	  I-AM-CAU	         O	         O	      B-A0	      B-A0	      B-A0
         market	              -	  I-AM-CAU	         O	         O	      I-A0	      I-A0	      I-A0
         makers	              -	  I-AM-CAU	         O	         O	      E-A0	      E-A0	      E-A0
             do	             do	  I-AM-CAU	         O	         O	       S-V	         O	         O
            n't	              -	  I-AM-CAU	         O	         O	      B-A1	  S-AM-NEG	         O
           want	           want	  I-AM-CAU	         O	         O	      I-A1	       S-V	         O
             to	              -	  I-AM-CAU	         O	         O	      I-A1	      B-A1	         O
              {	              -	  I-AM-CAU	         O	         O	      I-A1	      I-A1	         O
           take	           take	  I-AM-CAU	         O	         O	      I-A1	      I-A1	       S-V
            the	              -	  I-AM-CAU	         O	         O	      I-A1	      I-A1	      B-A1
         orders	              -	  I-AM-CAU	         O	         O	      I-A1	      I-A1	      E-A1
              }	              -	  E-AM-CAU	         O	         O	      E-A1	      E-A1	         O
              .	              -	         O	         O	         O	         O	         O	         O

             No	              -	      B-A0	         O	         O
            one	              -	      E-A0	         O	         O
            has	            has	       S-V	         O	         O
            big	              -	      B-A1	         O	         O
      positions	              -	      E-A1	         O	         O
            and	              -	         O	         O	         O
             no	              -	         O	      B-A0	      B-A0
            one	              -	         O	      E-A0	      E-A0
          wants	          wants	         O	       S-V	         O
             to	              -	         O	      B-A1	         O
           take	           take	         O	      I-A1	       S-V
            big	              -	         O	      I-A1	      B-A1
          risks	              -	         O	      E-A1	      E-A1
              .	              -	         O	         O	         O

         Joseph	              -	         O	      B-A0	         O	         O	         O
       Hardiman	              -	         O	      I-A0	         O	         O	         O
              ,	              -	         O	      I-A0	         O	         O	         O
      president	              -	         O	      I-A0	         O	         O	         O
             of	              -	         O	      I-A0	         O	         O	         O
            the	              -	         O	      I-A0	         O	         O	         O
       National	              -	         O	      I-A0	         O	         O	         O
    Association	              -	         O	      I-A0	         O	         O	         O
             of	              -	         O	      I-A0	         O	         O	         O
     Securities	              -	         O	      I-A0	         O	         O	         O
        Dealers	              -	         O	      I-A0	         O	         O	         O
              ,	              -	         O	      I-A0	         O	         O	         O
          which	              -	    S-R-A0	      I-A0	         O	         O	         O
       oversees	       oversees	       S-V	      I-A0	         O	         O	         O
        trading	              -	      B-A1	      I-A0	         O	         O	         O
             on	              -	      I-A1	      I-A0	         O	         O	         O
         Nasdaq	              -	      E-A1	      I-A0	         O	         O	         O
              ,	              -	         O	      E-A0	         O	         O	         O
         agrees	         agrees	         O	       S-V	         O	         O	         O
           that	              -	         O	      B-A1	         O	         O	         O
        program	              -	         O	      I-A1	      B-A1	      B-A0	         O
        trading	              -	         O	      I-A1	      E-A1	      E-A0	         O
             is	             is	         O	      I-A1	       S-V	         O	         O
        hurting	        hurting	         O	      I-A1	      B-A1	       S-V	         O
            the	              -	         O	      I-A1	      I-A1	      B-A1	      B-A0
         market	              -	         O	      I-A1	      I-A1	      I-A1	      I-A0
             's	              -	         O	      I-A1	      I-A1	      I-A1	      E-A0
        efforts	              -	         O	      I-A1	      I-A1	      I-A1	         O
             to	              -	         O	      I-A1	      I-A1	      I-A1	         O
          bring	          bring	         O	      I-A1	      I-A1	      I-A1	       S-V
           back	              -	         O	      I-A1	      I-A1	      I-A1	      S-A3
          small	              -	         O	      I-A1	      I-A1	      I-A1	      B-A1
      investors	              -	         O	      E-A1	      E-A1	      E-A1	      E-A1
              .	              -	         O	         O	         O	         O	         O

            But	              -	      S-A1	         O	         O	         O	         O
              ,	              -	         O	         O	         O	         O	         O
             he	              -	      S-A0	         O	         O	         O	         O
       observes	       observes	       S-V	         O	         O	         O	         O
              ,	              -	         O	         O	         O	         O	         O
          while	              -	    B-C-A1	         O	         O	  B-AM-ADV	         O
         makers	              -	    I-C-A1	      S-A0	         O	  I-AM-ADV	         O
         suffer	         suffer	    I-C-A1	       S-V	         O	  I-AM-ADV	         O
         losses	              -	    I-C-A1	      S-A1	         O	  I-AM-ADV	         O
           when	              -	    I-C-A1	  B-AM-TMP	         O	  I-AM-ADV	         O
        program	              -	    I-C-A1	  I-AM-TMP	      B-A0	  I-AM-ADV	         O
        trading	              -	    I-C-A1	  I-AM-TMP	      E-A0	  I-AM-ADV	         O
          drags	          drags	    I-C-A1	  I-AM-TMP	       S-V	  I-AM-ADV	         O
            the	              -	    I-C-A1	  I-AM-TMP	      B-A1	  I-AM-ADV	         O
         market	              -	    I-C-A1	  I-AM-TMP	      E-A1	  I-AM-ADV	         O
           down	              -	    E-C-A1	  E-AM-TMP	      S-A2	  E-AM-ADV	         O
              ,	              -	         O	         O	         O	         O	         O
           they	              -	    B-C-A1	         O	         O	      S-A0	         O
           also	              -	    I-C-A1	         O	         O	  S-AM-DIS	         O
           make	           make	    I-C-A1	         O	         O	       S-V	         O
          money	              -	    I-C-A1	         O	         O	      S-A1	         O
           when	              -	    I-C-A1	         O	         O	  B-AM-TMP	         O
        program	              -	    I-C-A1	         O	         O	  I-AM-TMP	      B-A0
        trading	              -	    I-C-A1	         O	         O	  I-AM-TMP	      E-A0
         pushes	         pushes	    I-C-A1	         O	         O	  I-AM-TMP	       S-V
            the	              -	    I-C-A1	         O	         O	  I-AM-TMP	      B-A1
         prices	              -	    I-C-A1	         O	         O	  I-AM-TMP	      E-A1
         higher	              -	    E-C-A1	         O	         O	  E-AM-TMP	      S-A2
              .	              -	         O	         O	         O	         O	         O

      Sometimes	              -	  S-AM-TMP	      B-A1
              {	              -	      B-A0	      I-A1
        traders	              -	      I-A0	      I-A1
              }	              -	      E-A0	      I-A1
           lose	           lose	       S-V	      I-A1
          sight	              -	      B-A1	      I-A1
             of	              -	      I-A1	      I-A1
           that	              -	      E-A1	      E-A1
              ,	              -	         O	         O
             he	              -	         O	      S-A0
           says	           says	         O	       S-V
              .	              -	         O	         O

            The	              -	      B-A2
            OTC	              -	      I-A2
         stocks	              -	      I-A2
             in	              -	      I-A2
            the	              -	      I-A2
          SampP	              -	      I-A2
            500	              -	      E-A2
        include	        include	       S-V
         Nasdaq	              -	      B-A1
             's	              -	      I-A1
        biggest	              -	      I-A1
              ,	              -	      I-A1
           such	              -	      I-A1
             as	              -	      I-A1
          Apple	              -	      I-A1
       Computer	              -	      I-A1
              ,	              -	      I-A1
            MCI	              -	      I-A1
 Communications	              -	      I-A1
              ,	              -	      I-A1
Tele-Communications	              -	      I-A1
            and	              -	      I-A1
            Liz	              -	      I-A1
      Claiborne	              -	      E-A1
              .	              -	         O

          These	              -	      B-A0
            big	              -	      I-A0
         stocks	              -	      E-A0
        greatly	              -	  S-AM-MNR
      influence	      influence	       S-V
            the	              -	      B-A1
         Nasdaq	              -	      I-A1
      Composite	              -	      I-A1
          Index	              -	      E-A1
              .	              -	         O

           When	              -	         O	  B-AM-TMP
            the	              -	      B-A0	  I-AM-TMP
      computers	              -	      E-A0	  I-AM-TMP
            say	            say	       S-V	  I-AM-TMP
           sell	              -	      B-A1	  E-AM-TMP
              ,	              -	      I-A1	         O
            the	              -	      I-A1	      B-A1
      composite	              -	      I-A1	      E-A1
        tumbles	        tumbles	      I-A1	       S-V
             as	              -	      I-A1	      B-A1
           well	              -	      I-A1	      I-A1
             as	              -	      I-A1	      I-A1
            the	              -	      I-A1	      I-A1
            Dow	              -	      I-A1	      I-A1
          Jones	              -	      I-A1	      I-A1
     Industrial	              -	      I-A1	      I-A1
        Average	              -	      E-A1	      E-A1
              .	              -	         O	         O

            The	              -	      B-A1	      B-A1	         O	         O	         O	         O
        problem	              -	      E-A1	      E-A1	         O	         O	         O	         O
              ,	              -	         O	         O	         O	         O	         O	         O
         market	              -	      B-A0	         O	         O	         O	         O	         O
         makers	              -	      E-A0	         O	         O	         O	         O	         O
            say	            say	       S-V	         O	         O	         O	         O	         O
              ,	              -	         O	         O	         O	         O	         O	         O
             is	             is	    B-C-A1	       S-V	         O	         O	         O	         O
           that	              -	    I-C-A1	         O	         O	         O	         O	         O
          while	              -	    I-C-A1	  B-AM-ADV	         O	         O	  B-AM-ADV	  B-AM-ADV
            the	              -	    I-C-A1	  I-AM-ADV	      B-A1	         O	  I-AM-ADV	  I-AM-ADV
     industrial	              -	    I-C-A1	  I-AM-ADV	      I-A1	         O	  I-AM-ADV	  I-AM-ADV
        average	              -	    I-C-A1	  I-AM-ADV	      I-A1	         O	  I-AM-ADV	  I-AM-ADV
            and	              -	    I-C-A1	  I-AM-ADV	      I-A1	         O	  I-AM-ADV	  I-AM-ADV
            the	              -	    I-C-A1	  I-AM-ADV	      I-A1	         O	  I-AM-ADV	  I-AM-ADV
          SampP	              -	    I-C-A1	  I-AM-ADV	      I-A1	         O	  I-AM-ADV	  I-AM-ADV
            500	              -	    I-C-A1	  I-AM-ADV	      E-A1	         O	  I-AM-ADV	  I-AM-ADV
        usually	              -	    I-C-A1	  I-AM-ADV	  S-AM-TMP	         O	  I-AM-ADV	  I-AM-ADV
        recover	        recover	    I-C-A1	  I-AM-ADV	       S-V	         O	  I-AM-ADV	  I-AM-ADV
             as	              -	    I-C-A1	  I-AM-ADV	  B-AM-TMP	         O	  I-AM-ADV	  I-AM-ADV
            buy	              -	    I-C-A1	  I-AM-ADV	  I-AM-TMP	      B-A1	  I-AM-ADV	  I-AM-ADV
       programs	              -	    I-C-A1	  I-AM-ADV	  I-AM-TMP	      E-A1	  I-AM-ADV	  I-AM-ADV
           kick	           kick	    I-C-A1	  I-AM-ADV	  I-AM-TMP	       B-V	  I-AM-ADV	  I-AM-ADV
             in	              -	    I-C-A1	  I-AM-ADV	  E-AM-TMP	       E-V	  E-AM-ADV	  E-AM-ADV
              ,	              -	    I-C-A1	  I-AM-ADV	         O	         O	         O	         O
            the	              -	    I-C-A1	  I-AM-ADV	         O	         O	      B-A1	      B-A1
         Nasdaq	              -	    I-C-A1	  I-AM-ADV	         O	         O	      I-A1	      I-A1
      Composite	              -	    I-C-A1	  I-AM-ADV	         O	         O	      E-A1	      E-A1
     frequently	              -	    I-C-A1	  I-AM-ADV	         O	         O	  S-AM-TMP	  S-AM-TMP
             is	             is	    I-C-A1	  I-AM-ADV	         O	         O	       S-V	         O
           left	           left	    I-C-A1	  I-AM-ADV	         O	         O	    B-C-A1	       S-V
         behind	              -	    E-C-A1	  E-AM-ADV	         O	         O	    E-C-A1	      S-A2
              .	              -	         O	         O	         O	         O	         O	         O

          Eight	              -	         O	  B-AM-TMP	         O
        trading	              -	         O	  I-AM-TMP	         O
           days	              -	         O	  I-AM-TMP	         O
          after	              -	         O	  I-AM-TMP	         O
           Oct.	              -	         O	  I-AM-TMP	         O
             12	              -	         O	  I-AM-TMP	         O
              ,	              -	         O	  I-AM-TMP	         O
            the	              -	  B-AM-TMP	  I-AM-TMP	         O
            day	              -	  I-AM-TMP	  I-AM-TMP	         O
         before	              -	  I-AM-TMP	  I-AM-TMP	         O
            the	              -	  I-AM-TMP	  I-AM-TMP	         O
          stock	              -	  I-AM-TMP	  I-AM-TMP	         O
         market	              -	  I-AM-TMP	  I-AM-TMP	         O
         plunge	              -	  I-AM-TMP	  E-AM-TMP	         O
              ,	              -	  I-AM-TMP	         O	         O
            for	              -	  I-AM-TMP	  B-AM-DIS	         O
       instance	              -	  E-AM-TMP	  E-AM-DIS	         O
              ,	              -	         O	         O	         O
            the	              -	      B-A0	      B-A1	         O
         Nasdaq	              -	      I-A0	      I-A1	         O
      Composite	              -	      E-A0	      E-A1	         O
            had	            had	       S-V	         O	         O
         fallen	         fallen	      B-A1	       S-V	         O
            4.3	              -	      I-A1	      B-A2	      B-A1
              %	              -	      I-A1	      E-A2	      E-A1
              ,	              -	      I-A1	         O	         O
       compared	       compared	      I-A1	  B-AM-ADV	       S-V
           with	              -	      I-A1	  I-AM-ADV	      B-A2
            3.3	              -	      I-A1	  I-AM-ADV	      I-A2
              %	              -	      I-A1	  I-AM-ADV	      I-A2
            for	              -	      I-A1	  I-AM-ADV	      I-A2
            the	              -	      I-A1	  I-AM-ADV	      I-A2
          SampP	              -	      I-A1	  I-AM-ADV	      I-A2
            500	              -	      I-A1	  I-AM-ADV	      I-A2
              ,	              -	      I-A1	  I-AM-ADV	      I-A2
            3.5	              -	      I-A1	  I-AM-ADV	      I-A2
              %	              -	      I-A1	  I-AM-ADV	      I-A2
            for	              -	      I-A1	  I-AM-ADV	      I-A2
            the	              -	      I-A1	  I-AM-ADV	      I-A2
            New	              -	      I-A1	  I-AM-ADV	      I-A2
           York	              -	      I-A1	  I-AM-ADV	      I-A2
          Stock	              -	      I-A1	  I-AM-ADV	      I-A2
       Exchange	              -	      I-A1	  I-AM-ADV	      I-A2
      Composite	              -	      I-A1	  I-AM-ADV	      I-A2
          Index	              -	      I-A1	  I-AM-ADV	      I-A2
            and	              -	      I-A1	  I-AM-ADV	      I-A2
            3.6	              -	      I-A1	  I-AM-ADV	      I-A2
              %	              -	      I-A1	  I-AM-ADV	      I-A2
            for	              -	      I-A1	  I-AM-ADV	      I-A2
            the	              -	      I-A1	  I-AM-ADV	      I-A2
     industrial	              -	      I-A1	  I-AM-ADV	      I-A2
        average	              -	      E-A1	  E-AM-ADV	      E-A2
              .	              -	         O	         O	         O

           This	              -	      B-A1
            gap	              -	      E-A1
     eventually	              -	  S-AM-TMP
         closes	         closes	       S-V
              ,	              -	         O
            but	              -	         O
         slowly	              -	  S-AM-MNR
              .	              -	         O

          Three	              -	  B-AM-TMP	         O
           days	              -	  I-AM-TMP	         O
          later	              -	  E-AM-TMP	         O
              ,	              -	         O	         O
             as	              -	  B-AM-TMP	         O
             of	              -	  I-AM-TMP	         O
         Friday	              -	  I-AM-TMP	         O
             's	              -	  I-AM-TMP	         O
          close	              -	  E-AM-TMP	         O
              ,	              -	         O	         O
            the	              -	      B-A1	         O
         Nasdaq	              -	      I-A1	         O
      Composite	              -	      E-A1	         O
            was	            was	       S-V	         O
           down	              -	  B-AM-MNR	         O
              6	              -	  I-AM-MNR	         O
              %	              -	  E-AM-MNR	         O
              ,	              -	         O	         O
       compared	       compared	  B-AM-ADV	       S-V
           with	              -	  I-AM-ADV	      B-A2
            5.9	              -	  I-AM-ADV	      I-A2
              %	              -	  I-AM-ADV	      I-A2
            for	              -	  I-AM-ADV	      I-A2
            the	              -	  I-AM-ADV	      I-A2
     industrial	              -	  I-AM-ADV	      I-A2
        average	              -	  I-AM-ADV	      I-A2
              ,	              -	  I-AM-ADV	      I-A2
            5.7	              -	  I-AM-ADV	      I-A2
              %	              -	  I-AM-ADV	      I-A2
            for	              -	  I-AM-ADV	      I-A2
            the	              -	  I-AM-ADV	      I-A2
          SampP	              -	  I-AM-ADV	      I-A2
            500	              -	  I-AM-ADV	      I-A2
            and	              -	  I-AM-ADV	      I-A2
            5.8	              -	  I-AM-ADV	      I-A2
              %	              -	  I-AM-ADV	      I-A2
            for	              -	  I-AM-ADV	      I-A2
            the	              -	  I-AM-ADV	      I-A2
            Big	              -	  I-AM-ADV	      I-A2
          Board	              -	  I-AM-ADV	      I-A2
      Composite	              -	  E-AM-ADV	      E-A2
              .	              -	         O	         O

            The	              -	      B-A1	         O	         O
           main	              -	      I-A1	         O	         O
         reason	              -	      I-A1	         O	         O
            for	              -	      I-A1	         O	         O
           this	              -	      I-A1	         O	         O
            lag	              -	      E-A1	         O	         O
             is	             is	       S-V	         O	         O
           that	              -	    B-C-A1	         O	         O
     individual	              -	    I-C-A1	      B-A0	         O
      investors	              -	    I-C-A1	      E-A0	         O
            own	            own	    I-C-A1	       S-V	         O
             65	              -	    I-C-A1	      B-A1	         O
              %	              -	    I-C-A1	      I-A1	         O
             of	              -	    I-C-A1	      I-A1	         O
            the	              -	    I-C-A1	      I-A1	         O
            OTC	              -	    I-C-A1	      I-A1	         O
         market	              -	    I-C-A1	      I-A1	         O
             's	              -	    I-C-A1	      I-A1	         O
 capitalization	              -	    E-C-A1	      E-A1	         O
              ,	              -	         O	         O	         O
      according	      according	  B-AM-ADV	  B-AM-ADV	       S-V
             to	              -	  I-AM-ADV	  I-AM-ADV	      B-A1
            Mr.	              -	  I-AM-ADV	  I-AM-ADV	      I-A1
       Hardiman	              -	  I-AM-ADV	  I-AM-ADV	      I-A1
              ,	              -	  I-AM-ADV	  I-AM-ADV	      I-A1
           much	              -	  I-AM-ADV	  I-AM-ADV	      I-A1
           more	              -	  I-AM-ADV	  I-AM-ADV	      I-A1
           than	              -	  I-AM-ADV	  I-AM-ADV	      I-A1
             on	              -	  I-AM-ADV	  I-AM-ADV	      I-A1
            the	              -	  I-AM-ADV	  I-AM-ADV	      I-A1
            Big	              -	  I-AM-ADV	  I-AM-ADV	      I-A1
          Board	              -	  E-AM-ADV	  E-AM-ADV	      E-A1
              .	              -	         O	         O	         O

           Such	              -	      B-A1	      B-A1	         O	         O	      B-A1
      investors	              -	      E-A1	      E-A1	         O	         O	      I-A1
           tend	           tend	       S-V	         O	         O	         O	      I-A1
             to	              -	      B-A2	         O	         O	         O	      I-A1
             be	             be	      I-A2	       S-V	         O	         O	      I-A1
           more	              -	      I-A2	  B-AM-TMP	         O	         O	      I-A1
       cautious	              -	      I-A2	  I-AM-TMP	         O	         O	      I-A1
           than	              -	      I-A2	  I-AM-TMP	         O	         O	      I-A1
  institutional	              -	      I-A2	  I-AM-TMP	      B-A1	         O	      I-A1
      investors	              -	      I-A2	  I-AM-TMP	      E-A1	         O	      I-A1
            are	            are	      I-A2	  I-AM-TMP	       S-V	         O	      I-A1
          about	              -	      I-A2	  I-AM-TMP	    B-C-A1	         O	      I-A1
    re-entering	    re-entering	      I-A2	  I-AM-TMP	    I-C-A1	       S-V	      I-A1
            the	              -	      I-A2	  I-AM-TMP	    I-C-A1	      B-A1	      I-A1
         market	              -	      I-A2	  I-AM-TMP	    I-C-A1	      E-A1	      I-A1
          after	              -	      I-A2	  I-AM-TMP	    I-C-A1	  B-AM-TMP	      I-A1
        massive	              -	      I-A2	  I-AM-TMP	    I-C-A1	  I-AM-TMP	      I-A1
       selloffs	              -	      E-A2	  I-AM-TMP	    E-C-A1	  E-AM-TMP	      E-A1
              ,	              -	         O	  I-AM-TMP	         O	         O	         O
         market	              -	         O	  I-AM-TMP	         O	         O	      B-A0
         makers	              -	         O	  I-AM-TMP	         O	         O	      E-A0
            say	            say	         O	  E-AM-TMP	         O	         O	       S-V
              .	              -	         O	         O	         O	         O	         O

            The	              -	      B-A1
         Nasdaq	              -	      I-A1
      Composite	              -	      I-A1
