      Bethlehem	              -	      B-A1	         O	      B-A0
          Steel	              -	      I-A1	         O	      I-A0
          Corp.	              -	      E-A1	         O	      I-A0
              ,	              -	         O	         O	      I-A0
       hammered	       hammered	       S-V	         O	      I-A0
             by	              -	      B-A2	         O	      I-A0
         higher	              -	      I-A2	         O	      I-A0
          costs	              -	      I-A2	         O	      I-A0
            and	              -	      I-A2	         O	      I-A0
          lower	              -	      I-A2	         O	      I-A0
      shipments	              -	      I-A2	         O	      I-A0
             to	              -	      I-A2	         O	      I-A0
            key	            key	      I-A2	       S-V	      I-A0
     automotive	              -	      I-A2	      B-A1	      I-A0
            and	              -	      I-A2	      I-A1	      I-A0
 service-center	              -	      I-A2	      I-A1	      I-A0
      customers	              -	      E-A2	      E-A1	      I-A0
              ,	              -	         O	         O	      E-A0
         posted	         posted	         O	         O	       S-V
              a	              -	         O	         O	      B-A1
             54	              -	         O	         O	      I-A1
              %	              -	         O	         O	      I-A1
           drop	              -	         O	         O	      I-A1
             in	              -	         O	         O	      I-A1
  third-quarter	              -	         O	         O	      I-A1
         profit	              -	         O	         O	      E-A1
              .	              -	         O	         O	         O

     Separately	              -	  S-AM-ADV	         O	         O	         O	         O
            the	              -	      I-A1	      I-A1	  I-AM-TMP	         O
            low	              -	      I-A1	      I-A1	  I-AM-TMP	         O
         levels	              -	      I-A1	      I-A1	  I-AM-TMP	         O
             of	              -	      I-A1	      I-A1	  I-AM-TMP	         O
            the	              -	      I-A1	      I-A1	  I-AM-TMP	         O
          early	              -	      I-A1	      I-A1	  I-AM-TMP	         O
         summer	              -	      I-A1	      E-A1	  E-AM-TMP	         O
              ,	              -	      I-A1	         O	         O	         O
      following	      following	      I-A1	         O	  B-AM-TMP	       S-V
            the	              -	      I-A1	         O	  I-AM-TMP	      B-A2
            end	              -	      I-A1	         O	  I-AM-TMP	      I-A2
             of	              -	      I-A1	         O	  I-AM-TMP	      I-A2
          labor	              -	      I-A1	         O	  I-AM-TMP	      I-A2
   negotiations	              -	      E-A1	         O	  E-AM-TMP	      E-A2
              .	              -	         O	         O	         O	         O

          Steel	              -	      B-A0	         O
       business	              -	      I-A0	         O
              ,	              -	      E-A0	         O
           said	           said	       S-V	         O
  third-quarter	              -	      B-A1	      B-A1
            net	              -	      I-A1	      I-A1
         income	              -	      I-A1	      E-A1
        dropped	        dropped	      I-A1	       S-V
              8	              -	      I-A1	      B-A2
              %	              -	      I-A1	      E-A2
             to	              -	      I-A1	      B-A4
              $	              -	      I-A1	      I-A4
             33	              -	      I-A1	      I-A4
        million	              -	      I-A1	      I-A4
              ,	              -	      I-A1	      I-A4
             or	              -	      I-A1	      I-A4
             35	              -	      I-A1	      I-A4
          cents	              -	      I-A1	      I-A4
              a	              -	      I-A1	      I-A4
          share	              -	      I-A1	      I-A4
              ,	              -	      I-A1	      E-A4
           from	              -	      I-A1	      B-A3
              $	              -	      I-A1	      I-A3
             36	              -	      I-A1	      I-A3
        million	              -	      I-A1	      I-A3
              ,	              -	      I-A1	      I-A3
             or	              -	      I-A1	      I-A3
             39	              -	      I-A1	      I-A3
          cents	              -	      I-A1	      I-A3
              a	              -	      I-A1	      I-A3
          share	              -	      I-A1	      I-A3
             in	              -	      I-A1	      I-A3
            the	              -	      I-A1	      I-A3
       year-ago	              -	      I-A1	      I-A3
        quarter	              -	      E-A1	      E-A3
              .	              -	         O	         O

          Sales	              -	      S-A1	         O	         O
        dropped	        dropped	       S-V	         O	         O
             to	              -	      B-A4	         O	         O
              $	              -	      I-A4	         O	         O
          441.1	              -	      I-A4	         O	         O
        million	              -	      E-A4	         O	         O
           from	              -	      B-A3	         O	         O
              $	              -	      I-A3	         O	         O
          820.4	              -	      I-A3	         O	         O
        million	              -	      E-A3	         O	         O
              ,	              -	         O	         O	         O
        because	              -	  B-AM-CAU	         O	         O
            the	              -	  I-AM-CAU	      B-A0	         O
        company	              -	  I-AM-CAU	      E-A0	         O
             no	              -	  I-AM-CAU	  B-AM-TMP	         O
         longer	              -	  I-AM-CAU	  E-AM-TMP	         O
   consolidates	   consolidates	  I-AM-CAU	       S-V	         O
            its	              -	  I-AM-CAU	      B-A1	      B-A1
        Eastern	              -	  I-AM-CAU	      I-A1	      I-A1
          Steel	              -	  I-AM-CAU	      I-A1	      I-A1
       division	              -	  I-AM-CAU	      I-A1	      E-A1
              ,	              -	  I-AM-CAU	      I-A1	         O
          which	              -	  I-AM-CAU	      I-A1	    S-R-A1
             is	             is	  I-AM-CAU	      I-A1	       S-V
            now	              -	  I-AM-CAU	      I-A1	  S-AM-TMP
              a	              -	  I-AM-CAU	      I-A1	      B-A2
          joint	              -	  I-AM-CAU	      I-A1	      I-A2
        venture	              -	  I-AM-CAU	      I-A1	      I-A2
           with	              -	  I-AM-CAU	      I-A1	      I-A2
       Kawasaki	              -	  I-AM-CAU	      I-A1	      I-A2
          Steel	              -	  I-AM-CAU	      I-A1	      I-A2
           Corp	              -	  E-AM-CAU	      E-A1	      E-A2
              .	              -	         O	         O	         O

          Along	              -	      B-A1	         O	         O	         O	         O
           with	              -	      I-A1	         O	         O	         O	         O
        reduced	              -	      I-A1	         O	         O	         O	         O
         volume	              -	      E-A1	         O	         O	         O	         O
              ,	              -	         O	         O	         O	         O	         O
       analysts	              -	      S-A0	         O	         O	         O	         O
           said	           said	       S-V	         O	         O	         O	         O
            the	              -	      B-A1	      B-A1	      B-A1	      B-A0	         O
         nation	              -	      I-A1	      I-A1	      I-A1	      I-A0	         O
             's	              -	      I-A1	      I-A1	      I-A1	      I-A0	         O
          fifth	              -	      I-A1	      I-A1	      I-A1	      I-A0	         O
        largest	              -	      I-A1	      I-A1	      I-A1	      I-A0	         O
     steelmaker	              -	      I-A1	      E-A1	      E-A1	      E-A0	         O
            was	            was	      I-A1	       S-V	         O	         O	         O
           hurt	           hurt	      I-A1	  B-AM-MNR	       S-V	         O	         O
             by	              -	      I-A1	  I-AM-MNR	      B-A2	         O	         O
        holding	        holding	      I-A1	  I-AM-MNR	      I-A2	       S-V	         O
    higher-cost	              -	      I-A1	  I-AM-MNR	      I-A2	      B-A1	         O
      inventory	              -	      I-A1	  E-AM-MNR	      E-A2	      E-A1	         O
           when	              -	      I-A1	  B-AM-TMP	  B-AM-TMP	  B-AM-TMP	S-R-AM-TMP
            raw	              -	      I-A1	  I-AM-TMP	  I-AM-TMP	  I-AM-TMP	      B-A1
       material	              -	      I-A1	  I-AM-TMP	  I-AM-TMP	  I-AM-TMP	      I-A1
          costs	              -	      I-A1	  I-AM-TMP	  I-AM-TMP	  I-AM-TMP	      I-A1
             of	              -	      I-A1	  I-AM-TMP	  I-AM-TMP	  I-AM-TMP	      I-A1
           such	              -	      I-A1	  I-AM-TMP	  I-AM-TMP	  I-AM-TMP	      I-A1
            key	              -	      I-A1	  I-AM-TMP	  I-AM-TMP	  I-AM-TMP	      I-A1
       products	              -	      I-A1	  I-AM-TMP	  I-AM-TMP	  I-AM-TMP	      I-A1
             as	              -	      I-A1	  I-AM-TMP	  I-AM-TMP	  I-AM-TMP	      I-A1
         nickel	              -	      I-A1	  I-AM-TMP	  I-AM-TMP	  I-AM-TMP	      E-A1
        dropped	        dropped	      E-A1	  E-AM-TMP	  E-AM-TMP	  E-AM-TMP	       S-V
              .	              -	         O	         O	         O	         O	         O

      Operating	              -	      B-A1
         profit	              -	      E-A1
        dropped	        dropped	       S-V
             46	              -	      B-A2
              %	              -	      E-A2
             in	              -	  B-AM-LOC
            its	              -	  I-AM-LOC
      specialty	              -	  I-AM-LOC
    flat-rolled	              -	  I-AM-LOC
          steel	              -	  I-AM-LOC
        segment	              -	  E-AM-LOC
              .	              -	         O

       Moreover	              -	  S-AM-DIS	         O	         O
              ,	              -	         O	         O	         O
            the	              -	      B-A0	         O	         O
        company	              -	      E-A0	         O	         O
           said	           said	       S-V	         O	         O
         higher	              -	      B-A1	      B-A1	      B-A2
          sales	              -	      I-A1	      I-A1	      I-A2
            and	              -	      I-A1	      I-A1	      I-A2
      shipments	              -	      I-A1	      I-A1	      I-A2
             to	              -	      I-A1	      I-A1	      I-A2
        service	              -	      I-A1	      I-A1	      I-A2
        centers	              -	      I-A1	      I-A1	      I-A2
           from	              -	      I-A1	      I-A1	      I-A2
            its	              -	      I-A1	      I-A1	      I-A2
          Armco	              -	      I-A1	      I-A1	      I-A2
          Steel	              -	      I-A1	      I-A1	      I-A2
            Co.	              -	      I-A1	      I-A1	      I-A2
          joint	              -	      I-A1	      I-A1	      I-A2
        venture	              -	      I-A1	      E-A1	      E-A2
         failed	         failed	      I-A1	       S-V	         O
             to	              -	      I-A1	      B-A2	         O
         offset	         offset	      I-A1	      I-A2	       S-V
       weakness	              -	      I-A1	      I-A2	      B-A1
             in	              -	      I-A1	      I-A2	      I-A1
            the	              -	      I-A1	      I-A2	      I-A1
     automotive	              -	      I-A1	      I-A2	      I-A1
         market	              -	      I-A1	      I-A2	      I-A1
              ,	              -	      I-A1	      I-A2	      I-A1
         higher	              -	      I-A1	      I-A2	      I-A1
     production	              -	      I-A1	      I-A2	      I-A1
          costs	              -	      I-A1	      I-A2	      I-A1
            and	              -	      I-A1	      I-A2	      I-A1
              a	              -	      I-A1	      I-A2	      I-A1
         poorer	              -	      I-A1	      I-A2	      I-A1
        product	              -	      I-A1	      I-A2	      I-A1
            mix	              -	      E-A1	      E-A2	      E-A1
              .	              -	         O	         O	         O

          Armco	              -	      B-A1
         shares	              -	      E-A1
         closed	         closed	       S-V
      unchanged	              -	  S-AM-MNR
             at	              -	  B-AM-EXT
              $	              -	  I-AM-EXT
         10.625	              -	  E-AM-EXT
             in	              -	  B-AM-LOC
      composite	              -	  I-AM-LOC
        trading	              -	  E-AM-LOC
             on	              -	  B-AM-LOC
            the	              -	  I-AM-LOC
            New	              -	  I-AM-LOC
           York	              -	  I-AM-LOC
          Stock	              -	  I-AM-LOC
       Exchange	              -	  E-AM-LOC
              .	              -	         O

       National	              -	      B-A0	      B-A0	         O
     Intergroup	              -	      E-A0	      I-A0	         O
              ,	              -	         O	      I-A0	         O
          which	              -	    S-R-A0	      I-A0	         O
           owns	           owns	       S-V	      I-A0	         O
             50	              -	      B-A1	      I-A0	         O
              %	              -	      I-A1	      I-A0	         O
             of	              -	      I-A1	      I-A0	         O
            the	              -	      I-A1	      I-A0	         O
         nation	              -	      I-A1	      I-A0	         O
             's	              -	      I-A1	      I-A0	         O
          sixth	              -	      I-A1	      I-A0	         O
        largest	              -	      I-A1	      I-A0	         O
     steelmaker	              -	      I-A1	      I-A0	         O
             --	              -	      I-A1	      I-A0	         O
       National	              -	      I-A1	      I-A0	         O
          Steel	              -	      I-A1	      I-A0	         O
          Corp.	              -	      E-A1	      I-A0	         O
             --	              -	         O	      E-A0	         O
         posted	         posted	         O	       S-V	         O
            net	              -	         O	      B-A1	         O
         income	              -	         O	      I-A1	         O
            for	              -	         O	      I-A1	         O
            the	              -	         O	      I-A1	      B-A1
         fiscal	              -	         O	      I-A1	      I-A1
 second-quarter	              -	         O	      I-A1	      I-A1
             of	              -	         O	      I-A1	      I-A1
              $	              -	         O	      I-A1	      I-A1
            8.6	              -	         O	      I-A1	      I-A1
        million	              -	         O	      I-A1	      I-A1
              ,	              -	         O	      I-A1	      I-A1
             or	              -	         O	      I-A1	      I-A1
             33	              -	         O	      I-A1	      I-A1
          cents	              -	         O	      I-A1	      I-A1
              a	              -	         O	      I-A1	      I-A1
          share	              -	         O	      E-A1	      E-A1
              ,	              -	         O	         O	         O
       compared	       compared	         O	  B-AM-ADV	       S-V
           with	              -	         O	  I-AM-ADV	      B-A2
              a	              -	         O	  I-AM-ADV	      I-A2
            net	              -	         O	  I-AM-ADV	      I-A2
           loss	              -	         O	  I-AM-ADV	      I-A2
             of	              -	         O	  I-AM-ADV	      I-A2
              $	              -	         O	  I-AM-ADV	      I-A2
           50.3	              -	         O	  I-AM-ADV	      I-A2
        million	              -	         O	  E-AM-ADV	      E-A2
              .	              -	         O	         O	         O

          Sales	              -	      S-A1	         O
      increased	      increased	       S-V	         O
             in	              -	  B-AM-TMP	         O
            the	              -	  I-AM-TMP	      B-A1
        quarter	              -	  I-AM-TMP	      E-A1
          ended	          ended	  I-AM-TMP	       S-V
          Sept.	              -	  I-AM-TMP	  B-AM-TMP
             30	              -	  E-AM-TMP	  E-AM-TMP
             to	              -	      B-A4	         O
              $	              -	      I-A4	         O
          747.8	              -	      I-A4	         O
        million	              -	      E-A4	         O
           from	              -	      B-A3	         O
              $	              -	      I-A3	         O
          623.5	              -	      I-A3	         O
        million	              -	      I-A3	         O
              a	              -	      I-A3	         O
           year	              -	      I-A3	         O
            ago	              -	      E-A3	         O
              .	              -	         O	         O

            The	              -	      B-A2
         latest	              -	      I-A2
         period	              -	      E-A2
       includes	       includes	       S-V
          gains	              -	      B-A1
             of	              -	      I-A1
              $	              -	      I-A1
            9.1	              -	      I-A1
        million	              -	      I-A1
           from	              -	      I-A1
          early	              -	      I-A1
     retirement	              -	      I-A1
             of	              -	      I-A1
           debt	              -	      I-A1
            and	              -	      I-A1
            tax	              -	      I-A1
           loss	              -	      I-A1
  carry-forward	              -	      E-A1
              .	              -	         O

           Last	              -	      B-A1	      B-A1
           year	              -	      I-A1	      I-A1
             's	              -	      I-A1	      I-A1
        results	              -	      E-A1	      E-A1
           were	           were	       S-V	         O
           hurt	           hurt	    B-C-A1	       S-V
             by	              -	    I-C-A1	      B-A2
              $	              -	    I-C-A1	      I-A2
           41.3	              -	    I-C-A1	      I-A2
        million	              -	    I-C-A1	      I-A2
             in	              -	    I-C-A1	      I-A2
  restructuring	              -	    I-C-A1	      I-A2
        charges	              -	    E-C-A1	      E-A2
              .	              -	         O	         O

       National	              -	      B-A1
     Intergroup	              -	      I-A1
          stock	              -	      E-A1
         closed	         closed	       S-V
             at	              -	  B-AM-EXT
              $	              -	  I-AM-EXT
             15	              -	  E-AM-EXT
              ,	              -	         O
      unchanged	              -	  S-AM-MNR
             in	              -	  B-AM-LOC
      composite	              -	  I-AM-LOC
        trading	              -	  I-AM-LOC
             on	              -	  I-AM-LOC
            the	              -	  I-AM-LOC
            New	              -	  I-AM-LOC
           York	              -	  I-AM-LOC
          Stock	              -	  I-AM-LOC
       Exchange	              -	  E-AM-LOC
              .	              -	         O

            The	              -	      B-A0	         O	         O
        company	              -	      E-A0	         O	         O
          noted	          noted	       S-V	         O	         O
           that	              -	      B-A1	         O	         O
            its	              -	      I-A1	      B-A0	         O
      Fox-Meyer	              -	      I-A1	      I-A0	         O
           Drug	              -	      I-A1	      I-A0	         O
            Co.	              -	      I-A1	      I-A0	         O
              ,	              -	      I-A1	      I-A0	         O
            Ben	              -	      I-A1	      I-A0	         O
       Franklin	              -	      I-A1	      I-A0	         O
         Stores	              -	      I-A1	      I-A0	         O
           Inc.	              -	      I-A1	      I-A0	         O
            and	              -	      I-A1	      I-A0	         O
        Permian	              -	      I-A1	      I-A0	         O
          Corp.	              -	      I-A1	      I-A0	         O
     operations	              -	      I-A1	      E-A0	         O
         showed	         showed	      I-A1	       S-V	         O
   improvements	              -	      I-A1	      B-A1	         O
             as	              -	      I-A1	      I-A1	         O
              a	              -	      I-A1	      I-A1	         O
         result	              -	      I-A1	      I-A1	         O
             of	              -	      I-A1	      I-A1	         O
  restructuring	  restructuring	      I-A1	      I-A1	       S-V
          moves	              -	      E-A1	      E-A1	      S-A1
              .	              -	         O	         O	         O

        However	              -	  S-AM-DIS	         O	         O	         O	         O
              ,	              -	         O	         O	         O	         O	         O
            its	              -	      B-A1	         O	         O	         O	         O
         equity	              -	      I-A1	         O	         O	         O	         O
             in	              -	      I-A1	         O	         O	         O	         O
            the	              -	      I-A1	         O	         O	         O	         O
            net	              -	      I-A1	         O	         O	         O	         O
         income	              -	      I-A1	         O	         O	         O	         O
             of	              -	      I-A1	         O	         O	         O	         O
       National	              -	      I-A1	         O	         O	         O	         O
          Steel	              -	      E-A1	         O	         O	         O	         O
       declined	       declined	       S-V	         O	         O	         O	         O
             to	              -	      B-A4	         O	         O	         O	         O
              $	              -	      I-A4	         O	         O	         O	         O
            6.3	              -	      I-A4	         O	         O	         O	         O
        million	              -	      E-A4	         O	         O	         O	         O
           from	              -	      B-A3	         O	         O	         O	         O
              $	              -	      I-A3	         O	         O	         O	         O
           10.9	              -	      I-A3	         O	         O	         O	         O
        million	              -	      E-A3	         O	         O	         O	         O
             as	              -	  B-AM-CAU	         O	         O	         O	         O
              a	              -	  I-AM-CAU	         O	         O	         O	         O
         result	              -	  I-AM-CAU	         O	         O	         O	         O
             of	              -	  I-AM-CAU	         O	         O	         O	         O
         softer	              -	  I-AM-CAU	         O	         O	         O	         O
         demand	              -	  I-AM-CAU	         O	         O	         O	         O
            and	              -	  I-AM-CAU	         O	         O	         O	         O
           lost	           lost	  I-AM-CAU	       S-V	         O	         O	         O
         orders	              -	  I-AM-CAU	      S-A1	         O	         O	         O
      following	      following	  I-AM-CAU	         O	       S-V	         O	         O
      prolonged	      prolonged	  I-AM-CAU	         O	      B-A2	       S-V	         O
          labor	              -	  I-AM-CAU	         O	      I-A2	      B-A1	         O
          talks	              -	  I-AM-CAU	         O	      I-A2	      E-A1	         O
            and	              -	  I-AM-CAU	         O	      I-A2	         O	         O
              a	              -	  I-AM-CAU	         O	      I-A2	         O	         O
     threatened	     threatened	  I-AM-CAU	         O	      I-A2	         O	       S-V
         strike	              -	  E-AM-CAU	         O	      E-A2	         O	      S-A1
              .	              -	         O	         O	         O	         O	         O

       National	              -	      B-A1	      B-A0	      B-A0
     Intergroup	              -	      E-A1	      E-A0	      E-A0
             is	             is	       S-V	         O	         O
    negotiating	    negotiating	  B-AM-ADV	       S-V	         O
            for	              -	  I-AM-ADV	      B-A2	         O
            the	              -	  I-AM-ADV	      I-A2	         O
           sale	              -	  I-AM-ADV	      I-A2	         O
             of	              -	  I-AM-ADV	      I-A2	         O
            its	              -	  I-AM-ADV	      I-A2	         O
             50	              -	  I-AM-ADV	      I-A2	         O
              %	              -	  I-AM-ADV	      I-A2	         O
       interest	              -	  I-AM-ADV	      I-A2	         O
             in	              -	  I-AM-ADV	      I-A2	         O
       National	              -	  I-AM-ADV	      I-A2	         O
          Steel	              -	  I-AM-ADV	      E-A2	         O
             to	              -	  I-AM-ADV	  B-AM-PNC	         O
    concentrate	    concentrate	  I-AM-ADV	  I-AM-PNC	       S-V
           more	              -	  I-AM-ADV	  I-AM-PNC	  B-AM-MNR
          fully	              -	  I-AM-ADV	  I-AM-PNC	  E-AM-MNR
             on	              -	  I-AM-ADV	  I-AM-PNC	      B-A1
           drug	              -	  I-AM-ADV	  I-AM-PNC	      I-A1
   distribution	              -	  I-AM-ADV	  I-AM-PNC	      I-A1
     operations	              -	  E-AM-ADV	  E-AM-PNC	      E-A1
              .	              -	         O	         O	         O

